individuo_id,potencial_hidrico_foliar_18,area_foliar_especifica_18,area_foliar_individual_18,comprimento_foliar_18,largura_foliar_18,ima_18,densidade_estomatica_abaxial_18,densidade_estomatica_adaxial_18,progenie
1839.0,-2.49,91.83,29.77,13.1,3.3,21.2711,233.55,83.41,145.0
2623.0,-3.1,112.44,30.3,12.56,2.1,7.7986,0.0,0.0,145.0
3125.0,-2.54,,,17.58,4.08,8.8522,407.04,104.21,145.0
3758.0,-2.34,98.83,26.64,13.1,3.51,30.8205,347.54,77.85,145.0
659.0,,,,6.01,2.83,27.7938,502.32,122.34,146.0
1224.0,,81.63,33.73,15.46,2.1,12.9973,247.05,122.34,146.0
1777.0,-2.45,80.5,49.43,15.66,4.01,12.325,268.77,74.14,146.0
3915.0,-3.28,104.29,14.5,,,0.469,296.57,189.06,146.0
647.0,-2.48,72.54,28.4,11.21,3.77,1.9756,335.31,81.74,152.0
1118.0,-2.95,107.12,28.45,13.35,3.31,5.7041,260.24,177.94,152.0
1857.0,,,,,,9.7932,166.82,157.55,152.0
2501.0,-2.48,,,,,2.1244,0.0,0.0,152.0
3131.0,-3.17,,37.11,14.65,3.62,3.6388,244.11,137.35,152.0
3952.0,-2.96,,,,,0.6109,391.1,222.43,152.0
441.0,-1.94,70.09,63.57,17.29,5.34,19.0002,271.78,100.09,154.0
1143.0,-2.36,69.8,66.24,19.82,5.48,16.3875,300.28,116.77,154.0
1912.0,-2.26,79.68,14.03,20.1,5.59,17.4523,326.23,51.9,154.0
2504.0,-2.8,88.69,51.4,19.15,4.66,17.1959,0.0,0.0,154.0
3132.0,-2.08,77.25,3.03,18.01,5.13,42.8503,211.31,67.84,154.0
3834.0,-3.12,112.64,21.2,9.29,3.41,9.3188,341.06,0.0,154.0
464.0,-1.96,112.96,27.68,10.34,4.28,21.7777,421.02,0.0,156.0
1142.0,-2.87,100.56,46.63,14.71,4.68,9.0295,350.88,0.0,156.0
1963.0,,91.15,78.2,18.54,5.01,16.3144,0.0,0.0,156.0
2536.0,-1.69,97.0,46.3,13.83,5.12,15.7114,365.89,0.0,156.0
3092.0,-2.4,111.21,41.37,14.95,4.5,13.2964,326.0,0.0,156.0
3745.0,-1.79,82.49,52.46,15.01,5.05,21.4644,205.75,0.0,156.0
757.0,,105.22,34.06,13.0,4.31,5.0595,484.34,0.0,159.0
1119.0,-3.11,94.44,35.89,12.1,4.37,2.1773,539.39,457.09,159.0
1939.0,-3.21,101.42,28.4,11.33,4.25,4.5601,0.0,0.0,159.0
2594.0,-3.06,,,,,5.5962,0.0,0.0,159.0
3288.0,-3.5,88.81,33.99,12.01,4.02,7.1383,0.0,0.0,159.0
3884.0,-3.84,,37.86,16.65,4.26,8.8098,459.87,0.0,159.0
629.0,-3.5,113.98,23.22,12.3,3.34,13.8233,362.56,0.0,162.0
1120.0,-2.23,70.92,23.21,10.1,2.1,30.9511,432.94,0.0,162.0
1888.0,-2.3,86.0,36.98,14.12,3.01,21.1545,408.71,0.0,162.0
2460.0,-1.85,66.46,29.4,13.62,3.59,12.9765,285.26,0.0,162.0
3154.0,-2.44,68.06,42.06,15.09,4.63,21.1949,370.48,0.0,162.0
3869.0,-3.0,92.38,35.47,12.54,4.43,14.4887,365.34,0.0,162.0
591.0,-1.72,95.88,36.74,15.01,3.69,0.9035,480.07,0.0,163.0
1214.0,-1.89,99.78,38.12,13.01,4.82,14.9668,285.18,0.0,163.0
1768.0,-1.87,100.4,38.84,12.33,3.1,16.0481,0.0,0.0,163.0
2604.0,-1.83,,,,,20.0045,410.94,0.0,163.0
3106.0,-2.3,84.1,44.92,11.91,5.36,20.1513,406.49,0.0,163.0
3776.0,-2.48,92.58,40.65,15.17,4.08,16.8624,350.32,0.0,163.0
527.0,-2.11,,50.38,17.35,4.56,24.8402,0.0,0.0,168.0
1183.0,-2.82,121.69,41.54,11.89,4.78,0.2653,0.0,0.0,168.0
1894.0,-2.8,77.03,73.56,22.14,5.25,24.0075,278.03,164.6,168.0
2613.0,-2.61,,56.11,22.26,3.83,18.9522,0.0,0.0,168.0
3182.0,-2.6,75.3,47.67,21.13,3.6,11.9758,294.72,148.29,168.0
3810.0,-2.77,,38.6,17.45,3.76,3.3989,0.0,0.0,168.0
532.0,-2.76,80.07,20.82,10.02,3.33,19.2324,402.22,103.8,177.0
1111.0,-3.15,70.31,34.77,16.47,3.44,14.2623,303.46,124.72,177.0
1850.0,-2.88,85.4,33.82,15.91,3.23,8.8679,284.15,109.55,177.0
2425.0,-2.18,63.05,28.44,14.1,3.33,8.6214,0.0,0.0,177.0
3218.0,-2.28,91.78,38.96,15.24,3.84,11.9218,371.45,0.0,177.0
3879.0,-3.1,93.3,25.13,10.69,3.36,14.5668,274.33,92.68,177.0
490.0,-2.72,98.04,33.61,11.9,4.21,8.0296,351.99,0.0,179.0
1289.0,-3.94,83.3,16.66,11.77,2.17,13.1419,306.06,93.98,179.0
1865.0,-4.2,78.58,36.56,10.52,4.16,4.4139,569.04,133.46,179.0
2444.0,-2.04,76.06,59.36,17.64,3.32,25.3345,455.42,0.0,179.0
3300.0,-3.3,64.5,60.72,20.25,4.72,17.2418,399.81,224.65,179.0
841.0,,109.6,28.0,14.42,6.19,4.4052,0.0,0.0,179.0
1847.0,-3.53,82.78,26.16,14.47,3.31,13.0425,0.0,0.0,180.0
2447.0,,92.41,32.19,14.56,3.69,14.0322,0.0,0.0,180.0
3196.0,-1.2,68.29,24.35,15.3,2.71,10.6071,216.87,103.59,180.0
3773.0,-2.61,56.08,44.76,23.24,3.11,22.4416,211.31,100.09,180.0
649.0,-2.16,85.31,43.64,15.07,4.6,20.4984,256.9,81.74,182.0
1845.0,-3.05,71.23,21.74,13.77,2.74,13.6112,309.73,0.0,182.0
2524.0,-3.1,91.28,43.27,16.57,4.4,14.1725,418.72,0.0,182.0
3094.0,-2.26,66.1,37.57,19.2,2.98,13.6907,243.84,0.0,182.0
443.0,-2.17,76.58,37.12,14.94,4.18,16.6387,0.0,0.0,183.0
1274.0,-2.92,98.27,47.17,16.78,4.31,18.1108,0.0,0.0,183.0
1937.0,-2.32,80.95,49.25,17.36,4.57,14.7954,278.59,200.74,183.0
