individuo_id,area_foliar_especifica_6,area_foliar_individual_6,comprimento_foliar_6,largura_foliar_6,potencial_hidrico_foliar_6,ima_6,densidade_estomatica_adaxial_6,densidade_estomatica_abaxial_6,progenie
3907.0,118.19,22.18,9.44,3.84,-2.5,0.1504014212,129.7,394.0,121.0
850.0,,,,,-2.6,1.680676199,0.0,308.6,131.0
1179.0,131.89,49.35,13.77,5.63,-2.56,3.932639066,0.0,362.0,131.0
1949.0,,,,,-2.26,0.07510521765,0.0,452.1,131.0
3856.0,139.8,24.0,8.68,4.0,-2.68,0.02339577663,0.0,0.0,131.0
754.0,,,,,-2.24,1.72295571,161.3,462.9,134.0
1147.0,,,,,-2.6,0.1432394488,126.5,475.4,134.0
2341.0,122.56,41.53,10.82,5.11,-2.38,0.2585472051,57.0,479.6,134.0
2469.0,97.84,33.54,10.0,4.82,-2.05,0.03472681281,73.7,435.1,134.0
3607.0,146.56,51.73,12.25,5.97,,0.0277526432,101.9,493.5,134.0
3846.0,129.7,38.6,11.73,4.94,-2.32,0.1711233948,75.1,504.6,134.0
549.0,86.84,47.4,13.24,5.07,-2.0,0.5569149769,0.0,343.2,137.0
1273.0,129.35,32.91,12.17,4.12,-2.7,0.272334002,256.3,311.4,137.0
2100.0,153.67,33.63,9.93,4.64,-1.8,0.5042028597,0.0,454.6,137.0
2633.0,135.82,32.09,10.69,4.23,-2.27,0.3466394661,285.8,329.2,137.0
3260.0,116.75,31.71,9.58,4.89,,0.3625748547,0.0,439.3,137.0
3760.0,148.43,35.85,11.2,4.85,-2.2,0.2924472079,0.0,386.1,137.0
801.0,,,,,-3.14,0.0,207.6,233.5,140.0
1117.0,,,,,-2.36,0.8412134517,113.4,394.8,140.0
1820.0,97.67,77.64,14.37,7.66,-2.13,1.68650127,0.0,0.0,140.0
2558.0,116.54,37.97,11.61,5.06,-2.26,0.1160239535,0.0,0.0,140.0
3439.0,96.97,27.17,9.72,4.56,,0.7368595344,0.0,0.0,140.0
3866.0,119.26,27.32,10.39,3.53,-2.14,0.03055774907,144.6,419.8,140.0
768.0,,,,,-2.94,2.36374932,0.0,690.2,141.0
1243.0,104.73,31.06,11.41,4.08,-2.35,0.4621859547,0.0,612.4,141.0
1898.0,118.93,51.29,15.2,5.0,-1.94,0.08938141604,0.0,690.2,141.0
2606.0,103.54,33.95,12.03,4.32,-1.85,0.4858682103,0.0,714.3,141.0
3638.0,125.05,19.58,7.37,3.89,,0.5917380784,80.6,458.4,141.0
3842.0,117.41,19.42,8.98,3.32,-3.46,0.0,66.7,512.3,141.0
444.0,135.8,29.65,11.52,3.94,-2.15,0.7486648523,151.5,493.5,145.0
1272.0,97.97,55.96,14.46,5.96,-2.3,1.533398194,193.2,468.5,145.0
2065.0,135.35,14.36,8.54,2.73,-2.1,0.1911848754,0.0,622.8,145.0
2623.0,157.33,15.78,8.27,3.06,-1.96,0.007639437268,0.0,608.0,145.0
3125.0,120.84,27.67,11.19,4.05,,1.65591169,132.1,467.1,145.0
3758.0,134.15,27.08,10.45,4.22,-2.14,1.381974202,154.3,442.1,145.0
716.0,103.37,47.32,16.48,4.7,-2.54,1.32009476,0.0,0.0,146.0
1224.0,,,,,-2.0,0.5691977596,159.9,396.2,146.0
1777.0,98.43,24.19,12.35,3.17,-2.38,0.05665915974,151.8,355.3,146.0
2625.0,95.77,48.66,16.15,4.73,-2.11,0.3437746771,174.2,292.9,146.0
3139.0,85.38,40.09,15.9,4.1,,0.3158429846,0.0,0.0,146.0
4283.0,110.51,37.54,13.01,4.36,-2.0,1.655211408,213.5,385.5,146.0
441.0,138.68,38.86,12.57,4.98,-2.28,1.039918398,116.8,348.5,154.0
1143.0,,,,,-2.8,2.236863042,115.4,389.2,154.0
1912.0,97.1,54.61,13.17,5.9,-2.38,1.102577699,135.7,404.8,154.0
2504.0,144.62,27.22,9.65,4.2,-2.31,0.1432394488,0.0,561.6,154.0
3834.0,142.11,28.17,8.55,4.47,-2.6,0.2737465021,0.0,483.2,154.0
464.0,103.91,60.48,14.18,6.25,-2.44,1.493828296,0.0,0.0,156.0
1142.0,,,,,-2.77,0.1839831142,0.0,0.0,156.0
1963.0,101.51,43.25,12.95,5.39,-2.04,0.395519928,0.0,0.0,156.0
2536.0,143.44,20.26,7.44,3.81,-2.52,0.05570423008,0.0,0.0,156.0
3092.0,121.36,40.5,11.96,5.73,,0.674021184,0.0,0.0,156.0
3745.0,103.13,44.36,12.07,5.62,-2.06,0.7237093572,0.0,0.0,156.0
629.0,130.27,20.97,9.16,3.46,-2.1,1.340721241,0.0,500.5,162.0
1120.0,,,,,-1.63,2.443525736,0.0,389.2,162.0
1888.0,118.82,24.93,10.36,3.6,-2.17,1.353055749,0.0,389.2,162.0
2460.0,109.45,19.23,8.25,3.55,-1.92,0.2253793149,0.0,0.0,162.0
3373.0,112.71,26.49,10.54,3.77,,1.169788832,0.0,444.9,162.0
3869.0,108.67,31.29,10.86,4.09,-2.33,0.5379437077,0.0,0.0,162.0
591.0,113.71,33.74,11.27,4.37,-1.9,0.331062176,0.0,576.1,163.0
1214.0,,,,,-1.85,1.168120092,0.0,244.7,163.0
1768.0,112.41,27.71,9.25,4.42,-2.07,1.071669809,0.0,436.0,163.0
2604.0,111.3,23.67,8.93,3.65,-2.42,0.7860980949,0.0,433.7,163.0
3450.0,104.51,25.95,11.33,3.31,,1.322378633,0.0,365.4,163.0
3776.0,107.88,27.91,9.34,4.17,-2.1,0.5174525087,0.0,0.0,163.0
532.0,119.9,28.91,9.48,4.49,-1.7,1.926284107,145.1,340.0,177.0
1111.0,,,,,-1.88,0.8587284532,0.0,558.9,177.0
1850.0,111.94,31.39,11.58,4.29,-1.66,2.299788928,137.9,544.9,177.0
2425.0,112.09,20.37,8.23,3.71,-2.6,0.6619850914,184.1,412.9,177.0
3218.0,107.52,30.55,11.67,3.96,-1.68,0.8963606395,0.0,613.1,177.0
3879.0,106.7,27.6,9.74,4.34,-2.57,0.5570423008,216.2,463.4,177.0
577.0,136.02,26.29,12.88,3.51,-2.0,0.3928580615,0.0,282.5,180.0
1284.0,124.89,31.54,11.64,4.38,-2.6,0.1949846997,0.0,491.6,180.0
1847.0,97.27,26.44,12.02,4.02,-1.98,1.038784419,171.3,347.0,180.0
