individuo_id,progenie,cap,altura,dap,volume,ima,resistente
633,119,,,,,,0
819,119,4.6,2.42,1.4642,0.000183,0.407494,1
1033,119,6.9,3.1,2.1963,0.000529,1.174492,1
1225,119,8.1,3.0,2.5783,0.000705,1.566323,1
1480,119,5.7,2.5,1.8144,0.000291,0.646368,1
1578,119,5.0,2.75,1.5915,0.000246,0.547095,1
1927,119,9.0,4.25,2.8648,0.001233,2.739454,1
2188,119,6.3,3.9,2.0054,0.000554,1.231788,1
2233,119,3.1,2.25,0.9868,7.7e-05,0.172066,1
2511,119,4.9,2.75,1.5597,0.000236,0.52543,1
2788,119,2.3,1.75,0.7321,3.3e-05,0.073669,1
2984,119,3.8,2.35,1.2096,0.000122,0.270038,1
3127,119,4.0,2.35,1.2732,0.000135,0.299211,1
3380,119,3.4,2.45,1.0823,0.000101,0.225379,1
3635,119,3.1,2.1,0.9868,7.2e-05,0.160595,1
3865,119,2.6,2.1,0.8276,5.1e-05,0.112968,1
4179,119,8.5,3.4,2.7056,0.00088,1.954821,1
4381,119,5.0,2.6,1.5915,0.000233,0.517254,1
120,120,6.4,2.9,2.0372,0.000425,0.945253,1
